Category,Term,,Count,%,PValue,LOG10,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,GROUP1,GROUP2,GROUP3
REACTOME_PATHWAY,Regulation of expression of SLITs and ROBOs,A01,9,10.34482759,1.06E-05,4.97E+00,"PSMA5, PSMB6, RPS4X, PSMC5, RPS4Y2, PSMD11, RPL13A, RPL24, UBA52",70,172,11091,8.290614618,0.007715559,0.001549087,0.001262219,At-risk RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Infectious disease,A02,19,21.83908046,3.63E-05,4.44E+00,"GGT5, DYNC1H1, RPS4Y2, PSMD11, XRCC5, PRKCSH, RPL13A, ARPC5, RPS4X, PSMA5, PSMB6, PSMC5, HNRNPK, GNB2, PGK1, RPL24, SNRPD3, UBA52, RAB7A",70,1022,11091,2.945610847,0.026103183,0.00330618,0.002693924,At-risk RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Cellular response to chemical stress,A03,9,10.34482759,5.30E-05,4.28E+00,"PSMA5, PSMB6, PSMC5, PSMD11, COX4I1, BLVRB, CYCS, SOD2, UBA52",70,215,11091,6.632491694,0.03790347,0.004293274,0.003498223,At-risk RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Signaling by ROBO receptors,A04,9,10.34482759,6.04E-05,4.22E+00,"PSMA5, PSMB6, RPS4X, PSMC5, RPS4Y2, PSMD11, RPL13A, RPL24, UBA52",70,219,11091,6.511350294,0.043060789,0.004401408,0.003586333,At-risk RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Selenoamino acid metabolism,A05,7,8.045977011,9.29E-05,4.03E+00,"RPS4X, RPS4Y2, AHCY, CTH, RPL13A, RPL24, UBA52",70,119,11091,9.320168067,0.065467625,0.006155079,0.005015249,At-risk RA vs Healthy,UP,ALL
KEGG_PATHWAY,Metabolic pathways,A06,43,27.38853503,4.30E-07,-6.37E+00,"RPN2, MAOA, MGST3, ADH1A, AK2, HSD17B12, UQCR10, PDHB, FTCD, ALAD, HMGCL, CA1, CA2, ESD, ACADS, HIBCH, NDUFA9, AOC3, FDPS, TPI1, ACSL1, ARG1, AKR1C1, GSS, COX6C, AGMAT, DHRS4, CS, GLUD1, UGDH, PFKL, BHMT, SUCLA2, PC, ACOX2, DAD1, FASN, GSTA2, UQCRC1, FBP1, ALDH7A1, UGT2B7, FBP2",113,1561,8840,2.154960798,8.56E-05,4.28E-05,3.80E-05,At-risk RA vs Healthy,down,ALL
KEGG_PATHWAY,Carbon metabolism,A07,12,7.643312102,2.12E-07,-6.67E+00,"CS, GLUD1, PFKL, SUCLA2, PC, TPI1, ESD, PDHB, ACADS, FBP1, HIBCH, FBP2",113,116,8840,8.092767775,4.22E-05,4.22E-05,3.76E-05,At-risk RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,hydrogen peroxide catabolic process,A08,7,4.458598726,9.06E-08,-7.04E+00,"PRDX2, PRDX5, HBG2, PRDX1, HBD, EPX",157,29,19734,30.33999561,9.36E-05,3.12E-05,3.10E-05,At-risk RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,translation,A09,13,8.280254777,7.38E-08,-7.13E+00,"EEF1A1P5, RPL23, RPL34, RPLP0, RPL9, RPL6, RPL7, RPS25, RPS18, RPL14, RPL35, RPL18, RPS12",157,202,19734,8.089235038,7.63E-05,3.12E-05,3.10E-05,At-risk RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,cytoplasmic translation,A10,12,7.643312102,2.93E-10,-9.53E+00,"RPS25, RPS18, RPL34, RPL23, RPLP0, RPL14, RPL35, RPL18, RPL9, RPL6, RPL7, RPS12",157,97,19734,15.54980629,3.03E-07,3.03E-07,3.01E-07,At-risk RA vs Healthy,down,ALL
REACTOME_PATHWAY,Neutrophil degranulation,A11,14,16.66666667,6.66E-06,5.18E+00,"VAT1, ASAH1, SERPINA1, XRCC5, MGST1, PA2G4, TTR, CAND1, PSAP, S100A12, PGM2, CAPN1, B2M, CD44",70,480,11091,4.62125,0.00479576,0.00240364,0.002400311,ACPA+ RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Innate Immune System,A12,20,23.80952381,1.81E-05,4.74E+00,"ATP6V1A, VAT1, ASAH1, SERPINA1, XRCC5, UBE2D2, MGST1, PA2G4, CPN1, PSMB6, TTR, CAND1, PSAP, UBE2N, S100A12, PGM2, CAPN1, UBA52, B2M, CD44",70,1069,11091,2.964319123,0.01301337,0.004366222,0.004360175,ACPA+ RA vs Healthy,UP,ALL
GOTERM_BP_DIRECT,acute-phase response,A13,4,4.761904762,6.34E-04,3.20E+00,"APCS, SERPINA1, SERPINF2, SAA2",84,40,19734,23.49285714,0.302291936,0.196659145,0.196659145,ACPA+ RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Biological oxidations,A14,7,8.333333333,0.002520803,2.60E+00,"GSTO1, ADH1B, EPHX1, MGST1, AKR1A1, UGT2B4, UGT1A8",70,222,11091,4.995945946,0.838349273,0.347684421,0.347202864,ACPA+ RA vs Healthy,UP,ALL
GOTERM_BP_DIRECT,positive regulation of receptor-mediated endocytosis,A15,3,3.571428571,0.004175301,2.38E+00,"RAB21, HNRNPK, B2M",84,23,19734,30.64285714,0.907128261,0.592892762,0.592892762,ACPA+ RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Peptide chain elongation,A16,11,7.746478873,4.50E-08,-7.35E+00,"RPS25, RPS18, RPL34, RPL23, RPLP0, RPL35, RPS11, RPL18, RPL28, RPL6, RPS12",122,90,11091,11.11120219,3.23E-05,6.47E-06,6.09E-06,ACPA+ RA vs Healthy,down,ALL
REACTOME_PATHWAY,Eukaryotic Translation Elongation,A17,12,8.450704225,5.30E-09,-8.28E+00,"EEF1G, RPS25, RPS18, RPL34, RPL23, RPLP0, RPL35, RPS11, RPL18, RPL28, RPL6, RPS12",122,94,11091,11.60551099,3.80E-06,1.27E-06,1.19E-06,ACPA+ RA vs Healthy,down,ALL
REACTOME_PATHWAY,Metabolism,A18,53,37.32394366,1.91E-09,-8.72E+00,"NDUFA13, HSP90AB1, RPL34, RPLP0, ETFA, FTCD, RPL6, RPS18, CA2, PSMD3, RPL35, DLAT, RPS11, HADH, ACADS, HIBCH, RPS12, TPI1, RPL23, HADHB, ALDH3A2, UGDH, TST, GPD1, PCCB, RPL28, FBP1, UGT2B7, FBP2, PSMD13, MGST3, ADH1A, PDHB, HSD17B12, UQCR10, TXN, HMGCL, RPL18, NDUFA9, FDPS, AKR1C1, GSS, COX6C, AGMAT, GRHPR, RPS25, PFKL, BHMT, SUCLA2, PC, VAPB, FASN, GSTA2",122,2145,11091,2.246257022,1.37E-06,6.85E-07,6.45E-07,ACPA+ RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,cytoplasmic translation,A19,11,7.746478873,1.74E-09,-8.76E+00,"RPS25, RPS18, RPL34, RPL23, RPLP0, RPL35, RPS11, RPL18, RPL28, RPL6, RPS12",141,97,19734,15.87146304,1.69E-06,1.44E-06,1.43E-06,ACPA+ RA vs Healthy,down,ALL
REACTOME_PATHWAY,SRP-dependent cotranslational protein targeting to membrane,A20,14,9.85915493,2.47E-10,-9.61E+00,"RPN2, RPL23, RPL34, RPLP0, SRP9, RPL6, SEC61A2, RPS25, RPS18, RPL35, RPS11, RPL18, RPL28, RPS12",122,113,11091,11.26316553,1.78E-07,1.78E-07,1.67E-07,ACPA+ RA vs Healthy,down,ALL
KEGG_PATHWAY,Metabolic pathways,A21,10,45.45454545,0.001014431,2.99E+00,"HADHA, HSD11B2, ACADVL, GNPDA1, CTH, COX4I1, MOGS, COX7A2, LSS, TYMP",18,1561,8840,3.146131397,0.061940213,0.063909155,0.063909155,ACPA- RA vs Healthy,UP,ALL
KEGG_PATHWAY,Fatty acid degradation,A22,3,13.63636364,0.003001,2.52E+00,"HADHA, ACADVL, ECI2",18,43,8840,34.26356589,0.172500888,0.094531494,0.094531494,ACPA- RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,A23,2,9.090909091,0.005400528,2.27E+00,"HADHA, ACADVL",21,3,11091,352.0952381,0.663261278,0.795588759,0.795588759,ACPA- RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Metabolism,A24,10,45.45454545,0.007916306,2.10E+00,"HADHA, HSD11B2, ACADVL, GNPDA1, CTH, COX4I1, ECI2, GNG12, LSS, TYMP",21,2145,11091,2.462204462,0.797599947,0.795588759,0.795588759,ACPA- RA vs Healthy,UP,ALL
GOTERM_BP_DIRECT,mitochondrial genome maintenance,A25,2,9.090909091,0.011646536,1.93E+00,"LONP1, TYMP",22,11,19734,163.0909091,0.900523418,1,1,ACPA- RA vs Healthy,UP,ALL
REACTOME_PATHWAY,Peptide chain elongation,A26,32,6.324110672,5.88E-22,-2.12E+01,"RPL4, RPL3, RPL34, RPLP0, RPL11, RPL9, RPL6, RPL7, RPL7A, RPS15A, RPS16, RPL18A, RPS18, RPL14, RPS3, RPL35, RPS2, RPS11, RPL18, RPL17, RPS10, RPS12, RPS9, RPL23, RPL22, RPL35A, RPL13A, RPSA, RPS3A, EEF2, RPS25, RPL27",425,90,11091,9.278745098,7.20E-19,7.20E-20,6.25E-20,ACPA- RA vs Healthy,down,ALL
REACTOME_PATHWAY,Eukaryotic Translation Elongation,A27,33,6.52173913,1.90E-22,-2.17E+01,"RPL4, RPL3, RPL34, RPLP0, RPL11, RPL9, RPL6, RPL7, RPL7A, RPS15A, RPS16, RPL18A, RPS18, RPL14, RPS3, RPL35, RPS2, RPS11, RPL18, RPL17, RPS10, RPS12, RPS9, RPL23, RPL22, RPL35A, RPL13A, RPSA, RPS3A, EEF2, EEF1G, RPS25, RPL27",425,94,11091,9.161526909,2.33E-19,2.58E-20,2.24E-20,ACPA- RA vs Healthy,down,ALL
REACTOME_PATHWAY,SRP-dependent cotranslational protein targeting to membrane,A28,36,7.114624506,6.97E-23,-2.22E+01,"RPL4, RPL3, RPN2, RPL34, RPLP0, RPL11, RPL9, RPL6, RPL7, SEC61A2, SEC61A1, RPL7A, RPS15A, RPS16, RPL18A, RPS18, RPL14, RPS3, RPL35, RPS2, RPS11, RPL18, RPL17, RPS10, RPS12, RPS9, RPL23, RPL22, RPL35A, RPL13A, RPSA, RPS3A, SRP9, DDOST, RPS25, RPL27",425,113,11091,8.313919833,8.53E-20,1.07E-20,9.25E-21,ACPA- RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,cytoplasmic translation,A29,31,6.126482213,1.28E-24,-2.39E+01,"RPL4, RPL3, RPL34, RPLP0, RPL11, RPL9, RPL6, RPL7, RPL7A, RPS15A, RPS16, RPL18A, RPS18, RPL14, RPS3, RPL35, RPS2, RPS11, RPL18, RPL17, RPS10, RPS12, RPS9, RPL23, RPL22, RPL35A, RPL13A, RPSA, RPS3A, RPS25, RPL27",504,97,19734,12.51337752,3.44E-21,1.72E-21,1.68E-21,ACPA- RA vs Healthy,down,ALL
REACTOME_PATHWAY,Metabolism,A30,175,34.58498024,4.62E-26,-2.53E+01,"RPL4, ALDH1L1, RPL3, RPL34, ENO1, RPL9, RPL6, CNDP2, RPL7, NDST1, RPS16, SCP2, RPL18A, RPS18, PSMD3, RPL35, RPS11, RPS10, PRKACB, RPS12, SULT2A1, GSTK1, RPS9, ACSL1, RPL23, RPL22, TALDO1, RPSA, CMBL, HSPG2, ALDH3A2, GPD1, PSME2, RPL27, VDAC1, CES1, MAOB, MAOA, MGST3, GLYAT, IQGAP1, TXN, ADH5, ACAT1, ADH6, HSD11B1, ADH4, LDHA, RAP1A, APOM, PSAP, ESD, ASL, APOE, LTA4H, APOB, HAO2, SULT1A2, FDPS, IDH1, CAV1, IDH2, RPS25, GRHPR, BHMT, FASN, GNB2, CRYL1, GPI, ARF1, HSP90AB1, ACY1, RPLP0, ACSM2A, AKR1B1, ETFA, ETFB, SERPINA6, FTCD, KHK, RPL7A, CA1, GM2A, CA2, AOX1, PHGDH, ACADS, PGM1, CBR1, HSP90AA1, TPI1, ARG1, GSTO1, DCXR, PGAM2, APOA2, AKR1A1, BGN, NME2, SORD, APOA1, RPL13A, RPS3A, APOA4, PTGR1, PSMA5, HADHB, UGDH, PSMA4, BDH2, PKM, TST, EHHADH, ALDH1A1, ALDOC, ALDOB, TKT, AGXT, ALDOA, GAPDH, FBP1, FBP2, UGT2B7, ALDH9A1, ASAH1, AHCY, ADH1A, GSTP1, PON1, RPL11, HSD17B4, PRELP, PDHB, UQCR10, HSD17B12, HSD17B10, PSMA7, GNAI2, RPS15A, UGP2, PSMB2, PSMB3, RPS3, RPL14, SLC25A20, RPS2, CKB, GC, RPL18, RPL17, CBR3, NDUFA9, AOC3, CYB5A, MDH2, AKR1C1, GSS, RPL35A, APOC3, AKR7L, FMO3, AKR1C4, COX6C, AGT, ASS1, AGMAT, SUCLA2, PC, RAB14, FABP5, VAPB, APOC2, GSTA2, LPCAT3, RAN",425,2145,11091,2.129082682,5.65E-23,1.88E-23,1.63E-23,ACPA- RA vs Healthy,down,ALL
GOTERM_BP_DIRECT,acute-phase response,A31,3,7.317073171,0.002976171,2.53E+00,"CRP, ORM1, SAA2",41,40,19734,36.09878049,0.610102847,0.940470002,0.940470002,ACPA+ RA vs At-risk RA ,UP,ALL
REACTOME_PATHWAY,Innate Immune System,A32,10,24.3902439,0.003175396,2.50E+00,"CNN2, CRP, ASAH1, ORM1, MUC2, PPP2R1A, UBE2N, S100A12, CTSD, S100A11",34,1069,11091,3.05150498,0.710724191,0.740691705,0.740691705,ACPA+ RA vs At-risk RA ,UP,ALL
REACTOME_PATHWAY,Immune System,A33,14,34.14634146,0.004109393,2.39E+00,"CRP, EIF4A1, ASAH1, ORM1, DCTN2, DYNLL2, CNN2, MUC2, PPP2R1A, UBE2N, S100A12, CTSD, S100A11, AP2M1",34,2054,11091,2.22340913,0.799304306,0.740691705,0.740691705,ACPA+ RA vs At-risk RA ,UP,ALL
REACTOME_PATHWAY,MHC class II antigen presentation,A34,4,9.756097561,0.005697629,2.24E+00,"DCTN2, CTSD, DYNLL2, AP2M1",34,123,11091,10.60832138,0.892302569,0.740691705,0.740691705,ACPA+ RA vs At-risk RA ,UP,ALL
REACTOME_PATHWAY,Neutrophil degranulation,A35,6,14.63414634,0.012951206,1.89E+00,"CNN2, ASAH1, ORM1, S100A12, CTSD, S100A11",34,480,11091,4.077573529,0.993804696,0.769037713,0.769037713,ACPA+ RA vs At-risk RA ,UP,ALL
REACTOME_PATHWAY,Viral mRNA Translation,A36,4,10.52631579,0.001790336,-2.75E+00,"RPS4Y2, RPL13A, RPL13, RPS11",31,90,11091,15.90107527,0.509043862,0.065773183,0.061299944,ACPA+ RA vs At-risk RA ,down,ALL
REACTOME_PATHWAY,Regulation of expression of SLITs and ROBOs,A37,5,13.15789474,0.001117125,-2.95E+00,"RPS4Y2, PSMD11, RPL13A, RPL13, RPS11",31,172,11091,10.4004126,0.358372063,0.065773183,0.061299944,ACPA+ RA vs At-risk RA ,down,ALL
REACTOME_PATHWAY,Nervous system development,A38,8,21.05263158,6.81E-04,-3.17E+00,"HSPA8, RPS4Y2, PSMD11, RPL13A, RPL13, ARPC5, RPS11, ACTB",31,573,11091,4.995102179,0.236852719,0.054042448,0.050367017,ACPA+ RA vs At-risk RA ,down,ALL
REACTOME_PATHWAY,Axon guidance,A39,8,21.05263158,5.21E-04,-3.28E+00,"HSPA8, RPS4Y2, PSMD11, RPL13A, RPL13, ARPC5, RPS11, ACTB",31,548,11091,5.222980928,0.186885867,0.051707475,0.048190845,ACPA+ RA vs At-risk RA ,down,ALL
REACTOME_PATHWAY,Selenoamino acid metabolism,A40,5,13.15789474,2.78E-04,-3.56E+00,"RPS4Y2, AHCY, RPL13A, RPL13, RPS11",31,119,11091,15.03252914,0.104610152,0.036826898,0.034322298,ACPA+ RA vs At-risk RA ,down,ALL
REACTOME_PATHWAY,Innate Immune System,A41,129,27.80172414,2.40E-39,3.86E+01,"PGLYRP2, PROS1, HP, C4BPA, C4BPB, CLU, C4B, C4A, LAMP1, ANPEP, CFL1, COTL1, CAPN1, B2M, PSME2, SERPING1, PADI2, PPIA, S100A9, UBA52, CFB, S100A8, VCL, FTL, ATP6V1A, CPB2, VCP, CFH, COPB1, CFI, MGST1, A1BG, IQGAP1, AGER, HSP90B1, C2, C3, CNN2, VTN, C5, CYB5R3, C6, C7, C9, PSAP, MLEC, S100A12, LTA4H, APOB, S100A11, TXNDC5, VAT1, HSPA8, XRCC5, IDH1, DEFA3, ARPC5, PA2G4, EEF2, PRDX6, BPIFB1, GPI, SERPINA3, PIGR, ORM1, SERPINA1, HSP90AB1, GDI2, HBB, HMGB1, C8B, ORM2, C8A, CTSS, C8G, GM2A, RAC1, CTSD, PGM1, FGB, CAP1, ACTR2, FGA, SERPINB1, HSP90AA1, ANXA2, ARG1, AHSG, TUBB, PGAM1, FGG, NME2, F2, DDOST, RHOA, PSMA5, PSMA4, PKM, NPC2, CAT, MYH9, ALDOC, CEACAM8, ALDOA, CD44, RAB7A, LTF, C1QB, CSTB, ASAH1, C1S, C1R, GSTP1, MVP, PSMA7, CPN2, CPN1, CDC42, TTR, MUC2, PSMB2, PSMB3, CCT8, LRG1, RAB14, FABP5, CFHR1, HSPA1B, C1QC",384,1069,11091,3.485390844,2.90E-36,2.90E-36,2.50E-36,ACPA+ RA vs ACPA- RA,UP,ALL
REACTOME_PATHWAY,Neutrophil degranulation,A42,81,17.45689655,9.91E-34,3.30E+01,"GPI, SERPINA3, PIGR, ORM1, SERPINA1, HSP90AB1, GDI2, HP, HBB, HMGB1, ORM2, CTSS, GM2A, LAMP1, ANPEP, COTL1, CAPN1, RAC1, B2M, CTSD, PGM1, CAP1, ACTR2, SERPINB1, HSP90AA1, ANXA2, AHSG, ARG1, TUBB, PGAM1, NME2, RHOA, DDOST, PSMA5, PKM, NPC2, CAT, PADI2, ALDOC, CEACAM8, ALDOA, S100A9, PPIA, S100A8, CD44, VCL, RAB7A, FTL, LTF, CSTB, ASAH1, VCP, GSTP1, COPB1, MVP, MGST1, A1BG, IQGAP1, C3, CNN2, CYB5R3, TTR, PSAP, S100A12, MLEC, CCT8, LTA4H, S100A11, TXNDC5, VAT1, HSPA8, XRCC5, IDH1, PA2G4, ARPC5, EEF2, PRDX6, LRG1, RAB14, FABP5, HSPA1B",384,480,11091,4.873974609,1.20E-30,6.00E-31,5.16E-31,ACPA+ RA vs ACPA- RA,UP,ALL
KEGG_PATHWAY,Complement and coagulation cascades,A43,40,8.620689655,2.06E-33,3.27E+01,"C1QB, CPB2, SERPINA1, CFH, C1S, C1R, SERPINC1, PROS1, CFI, C4BPA, PLG, C4BPB, C8B, C8A, CLU, KNG1, C2, C3, C4B, C4A, VTN, C5, C6, C8G, C7, C9, A2M, FGB, FGA, SERPIND1, F10, F12, FGG, SERPINF2, F2, CFHR1, SERPING1, KLKB1, CFB, C1QC",322,88,8840,12.47882552,5.49E-31,5.49E-31,4.79E-31,ACPA+ RA vs ACPA- RA,UP,ALL
REACTOME_PATHWAY,Regulation of Complement cascade,A44,29,6.25,1.66E-29,2.88E+01,"C1QB, CPB2, CFH, C1S, C1R, PROS1, CFI, C4BPA, C4BPB, C8B, C8A, CLU, CPN2, C2, CPN1, C3, C4B, C4A, VTN, C5, C6, C8G, C7, C9, F2, CFHR1, SERPING1, CFB, C1QC",384,47,11091,17.82130984,2.01E-26,6.70E-27,5.76E-27,ACPA+ RA vs ACPA- RA,UP,ALL
