colnames-ALL---c-1-15--,P_VAS,P_SJC,P_TJC,P_CRP,X3.1,X3.8,X5.0
BAAT,0.125827584,0.969184719,0.409207609,0.844501234,0,0,0
MGST1,0.459928504,0.965253478,0.483147285,0.175218754,0,0,0
RPL14,0.9484474,0.738968385,0.519415542,0.069638787,0,0,0
SERPIND1,0.852754685,0.449183471,0.162029072,0.476104967,0,0,0
PSMB6,0.485527074,0.366600992,0.760375623,0.892448759,0,0,0
COMT,0.101392872,0.323619322,0.257737402,0.760883214,0,0,0
F2,0.705197975,0.847404366,0.052079765,0.927246319,0,0,0
RHOA,0.952540645,0.54780673,0.785573935,0.091207115,0,0,0
OGDH,0.689923372,0.687667977,0.221877635,0.08696188,0,0,0
ITIH2,0.329818288,0.021912305,0.593977245,0.72242537,0,0,0
ETFB,0.669482097,0.273970914,0.416140791,0.061727221,0,0,0
SLC25A3,0.743882299,0.557893186,0.332101663,0.230363123,0,0,0
RPL18,0.0718367,0.822474687,0.342548777,0.014966771,0,0,0
IGHV3-15,0.968299015,0.805389898,0.413772669,0.010496653,0,0,0
CAND1,0.573562619,0.648701258,0.853273472,0.744186863,0,0,0
RPS7,0.588990944,0.097400187,0.684888326,0.085493871,0,0,0
MAPRE1,0.934079666,0.568825345,0.32856137,0.127362273,0,0,0
AFM,0.345090077,0.040229701,0.137796319,0.010852666,0,0,0
STOM,0.803983966,0.081616337,0.099811915,0.860794532,0,0,0
HK1,0.119670107,0.931698155,0.354609171,0.039870232,0,0,0
MYH10,0.869368788,0.632287571,0.935766522,0.142495384,0,0,0
PIGR,0.561262333,0.558930392,0.152709834,0.189167839,0,0,0
LTA4H,0.109198794,0.97489741,0.384925833,0.71419959,0,0,0
GSTA2,0.538468455,0.295209186,0.076578004,0.756486441,0,0,0
RPL13A,0.05326491,0.256324454,0.437635497,0.294612805,0,0,0
HSPA5,0.993281382,0.512944971,0.901367936,0.405539984,0,0,0
EEF1B2,0.229702231,0.749367914,0.411324499,0.394112519,0,0,0
C4BPB,0.685504266,0.965510045,0.244620365,0.11460358,0,0,0
RPS9,0.105557184,0.504195883,0.624231477,0.034435674,0,0,0
CTSD,0.037427498,0.120876824,0.229102055,0.138411231,0,0,0
ADH6,0.871902591,0.050404649,0.45966805,0.042309932,0,0,0
HIBCH,0.690417324,0.475433563,0.09032085,0.271214339,1,0,0
APOC2,0.429586356,0.735215487,0.287100722,0.943319502,0,0,0
MVP,0.72207168,0.882544937,0.841303727,0.207240568,0,0,0
COX5A,0.840660304,0.960045477,0.878548898,0.355338393,0,0,0
CAPNS1,0.173301256,0.60012637,0.234909856,0.050927807,0,0,0
IGHV4-28,0.185174526,0.16039639,0.272210421,0.731533975,0,0,0
ANXA4,0.74355919,0.349791464,0.797522466,0.659114536,0,0,0
SFN,0.794315191,0.280516807,0.161870028,0.953700031,1,0,0
REEP5,0.08059763,0.550638192,0.076034646,0.755117652,0,0,0
PLEC,0.054115082,0.59477372,0.521979791,0.727756088,0,0,0
ACY1,0.384241556,0.248983046,0.239392486,2.57E-06,0,0,0
RPL21,0.229984567,0.092465974,0.911308148,0.237488508,0,0,0
PDLIM1,0.199007872,0.322230268,0.29054088,0.540788433,0,0,0
SERPINA1,0.011937633,0.012790363,0.162375576,0.000612696,0,0,0
PFKL,0.608926167,0.459944378,0.140099046,0.16148038,0,0,0
MAOB,0.757760182,0.409872354,0.977609793,0.039244102,0,0,0
COL12A1,0.950467266,0.343006325,0.439847475,0.431953439,0,0,0
IGKV4-1,0.652811714,0.836506123,0.391606724,0.230579791,0,0,0
DLAT,0.510225722,0.947050595,0.566881119,0.842806154,0,0,0
MDH2,0.011659906,0.833946632,0.227368602,0.043356687,1,1,0
HSD17B4,0.119697841,0.560033493,0.828748736,0.426803982,0,1,0
AGER,0.176300899,0.329710129,0.511080765,0.134177462,0,0,0
PON1,0.43308935,0.22943674,0.313553035,0.020612276,0,0,0
TMEM109,0.504030419,0.354704778,0.298233763,0.709043239,0,0,0
RPL7,0.465343347,0.468439596,0.658140856,0.00143893,0,0,0
RPL10A,0.31255815,0.575355567,0.918749682,0.132489284,0,0,0
PSMA1,0.081473885,0.112229563,0.29073191,0.198315702,0,0,0
CAPZA1,0.814232495,0.632254842,0.803847832,0.975140951,0,0,0
RTN4,0.617760677,0.000413422,0.841886132,0.588060403,0,0,0
DAK,0.20178238,0.282949504,0.323362944,0.057224893,0,0,0
PHB,0.17270194,0.776120645,0.147884959,0.746277261,0,0,0
1,0.495410617,0.242111453,0.900539237,0.660831784,0,0,0
PKM,0.729728364,0.109494209,0.269967903,0.95094552,0,0,0
CFHR1,0.474576337,0.523536222,0.823196163,0.000181218,0,0,0
HRSP12,0.782392335,0.894459789,0.443057574,0.255106496,0,0,0
PDIA3,0.038922737,0.152762802,0.362119096,0.379520868,0,0,0
PPIB,0.672284956,0.771164923,0.889093696,0.386431873,0,0,0
TNC,0.325872344,0.579014603,0.181364615,0.476577651,1,0,0
IDH1,0.565190347,0.004873355,0.637296149,0.234541175,0,0,0
RPL37A,0.324188054,0.213487364,0.636981554,0.25298487,0,0,0
C8G,0.9779805,0.448765839,0.51835915,0.182098825,1,0,0
HMGB1,0.431688154,0.532410148,0.360113791,0.343416138,0,0,0
DPP4,0.929488274,0.268112961,0.225323428,0.592899904,0,0,0
QPRT,0.219935408,0.564358404,0.050493623,0.023604927,0,0,0
HYOU1,0.204040785,0.943723508,0.692434951,0.086473056,0,0,0
FBP2,0.114206835,0.190803458,0.213592941,0.13932002,0,0,0
HP1BP3,0.237181551,0.653063422,0.416790257,0.030171573,1,0,0
MYL6,0.159737188,0.996717381,0.916780429,0.922348242,1,0,0
ERH,0.798947248,0.624792086,0.988014935,0.217598219,0,0,0
TF,0.027999066,0.168591685,0.18965172,0.145376162,0,0,0
HIST1H4A,0.790820327,0.558031394,0.953231276,0.453104372,0,0,0
SERPINC1,0.14903652,0.657935905,0.11366338,0.087392322,0,0,0
ARF4,0.478858449,0.081197276,0.181951609,0.3425096,0,0,0
RPS8,0.972867979,0.331908228,0.461702844,0.480057921,0,0,0
APOA2,0.687012545,0.363857608,0.068405739,0.314267422,0,0,0
APMAP,0.036692381,0.241901957,0.663016989,0.882385252,0,0,0
DYNC1H1,0.986038246,0.638828326,0.376247121,0.29403185,0,0,0
HIST1H1E,0.335507789,0.188573117,0.005107553,0.880834643,0,0,0
SH3BGRL3,0.674329646,0.125105602,0.532466908,0.128570541,0,0,0
PSMC5,0.746850948,0.471560504,0.46920541,0.300552361,0,0,0
CAP1,0.639191044,0.81901602,0.738039038,0.488736612,0,0,0
HBG2,0.662734267,0.253302496,0.863643656,0.046925316,0,0,0
CYP1A2,0.039631164,0.156341715,0.606430675,0.312161119,0,0,0
APCS,0.619837472,0.499048368,0.408637468,0.032971978,0,0,0
PSME1,0.037288801,0.637945946,0.935064529,0.907785807,0,0,0
HSD17B12,0.18106304,0.632808734,0.716542441,0.071261954,0,0,0
ST13P4,0.776584809,0.597046371,0.014812543,0.017138362,0,0,0
ARPC2,0.091999118,0.644005546,0.903919589,0.737473023,0,0,0
F13A1,0.191100009,0.951309242,0.395184179,0.511732649,0,0,0
VAPB,0.418856072,0.70153273,0.650848958,0.427346857,0,0,0
PEPD,0.015938676,0.035105779,0.026937682,0.335509489,0,0,0
PDIA6,0.14749876,0.669917536,0.018747444,0.745856207,0,0,0
MLEC,0.450441493,0.299701058,0.782398592,0.144407291,0,0,0
GMFB,0.344572578,0.744246365,0.308491912,0.40434638,0,0,0
RPL18A,0.342688298,0.11173033,0.143588367,0.646594156,0,0,0
CORO1A,0.285070617,0.178794416,0.323023524,0.358043027,0,0,0
CFB,0.955528593,0.554107855,0.941481719,0.071959232,0,0,0
TAGLN,0.618235209,0.227767915,0.329672835,0.38352964,0,0,0
GNA14,0.139417597,0.35313099,0.446242553,0.309002914,0,0,0
GLS,0.009673888,0.265991838,0.611757896,0.606926453,0,0,0
SPTBN1,0.109017077,0.668620707,0.765439567,0.389354103,0,0,0
IGHV4-61,0.789236938,0.666030516,0.684482804,0.675233401,0,0,0
PHGDH,0.356540176,0.131255956,0.385945287,0.022231717,0,0,0
HSPB1,0.029992641,0.394139868,0.138110545,0.262266274,0,0,0
PECR,0.239401994,0.247318933,0.720406702,0.382943761,0,0,0
RPS16,0.335790463,0.509349015,0.840118281,0.502910389,0,0,0
APOH,0.187508876,0.55271921,0.613755165,0.629934296,0,0,0
SEC61A2,0.412471586,0.350663602,0.97771031,0.301972683,0,0,0
RPS6,0.440359324,0.307261598,0.484162041,0.736223727,0,0,0
ABAT,0.371849069,0.597830428,0.467541759,0.957345401,0,0,0
FGG,0.650808363,0.152973398,0.662684449,0.000465091,0,0,0
PSMB1,0.68230058,0.509580697,0.502076243,0.258807775,0,0,0
SLC25A13,0.236530931,0.332578192,0.221452047,0.610189657,0,0,0
ANXA7,0.222873036,0.867771329,0.63536703,0.323769804,0,0,0
HSPA8,0.371286128,0.945909479,0.695140792,0.000371781,0,0,0
CNDP2,0.16996277,0.055682822,0.488760077,0.285244445,0,0,0
S100A6,0.576192465,0.461757933,0.830426036,0.904041142,0,0,0
MT1X,0.930111232,0.830212958,0.50801342,0.856926125,0,0,0
LGALS3BP,0.547697763,0.250032981,0.211789921,0.153309538,0,0,0
ACTR2,0.335002503,0.576066194,0.235938672,0.883586763,0,0,0
WARS,0.076999749,0.716472914,0.128920143,0.507516954,0,0,0
IQGAP2,0.892908258,0.440851962,0.603869337,0.546455379,0,0,0
H3F3A,0.87564839,0.135297131,0.196182668,0.699141925,0,0,0
PRKDC,0.083512796,0.459860913,0.067388989,0.694290908,0,0,0
AGT,0.801990583,0.775513612,0.200547811,0.344980097,0,0,0
HIST1H1C,0.933462684,0.336109152,0.625033437,0.423965412,0,0,0
LRPPRC,0.243501999,0.611158702,0.23201427,0.098265198,0,0,0
GYG1,0.470718983,0.427176187,0.43215935,0.082250875,0,0,0
CPN2,0.497438553,0.943186517,0.833369935,0.898538822,0,0,0
RPL24,0.294033288,0.924741615,0.963947105,0.236847664,0,0,0
SQRDL,0.300990374,0.297228634,0.866064144,0.271018934,0,0,0
ALDH3A2,0.815049593,0.164184088,0.712158287,0.79579374,0,0,0
CCT4,0.506733675,0.0671998,0.618036691,0.012351167,0,0,0
CALR,0.217288261,0.359303303,0.130419304,0.296163477,0,0,0
IGHV3-21,0.105592028,0.122527042,0.088937528,0.779498237,0,0,0
SAA4,0.650608342,0.634368258,0.280948527,0.477568986,0,0,0
ADH1B,0.61323595,0.488972762,0.368667958,0.119023902,0,0,0
CA2,0.081252722,0.135764212,0.469817445,0.176866317,0,0,0
SYNGR2,0.185939489,0.304423913,0.171968325,0.70022005,0,0,0
ACADS,0.165197278,0.445013896,0.790497132,0.896369165,0,0,0
PA2G4,0.611912505,0.784303232,0.850796554,0.105566939,0,0,0
ESYT1,0.940243651,0.556321439,0.558600485,0.161152033,0,0,0
NDUFS2,0.606021379,0.664382153,0.846392994,0.558736323,0,0,0
RAB11A,0.727874107,0.303278131,0.239899346,0.630046356,0,0,0
RPL9,0.890899544,0.748796027,0.681172075,0.297832722,0,0,0
SSBP1,0.431244463,0.963176899,0.842520897,0.098966984,0,0,0
FH,0.132267176,0.790227633,0.365241462,0.635116933,0,0,0
SLC25A1,0.18185501,0.215440886,0.387119997,0.131585334,0,1,0
HNMT,0.349732828,0.489556435,0.329414297,0.025084306,0,0,0
CAPN2,0.252732175,0.714900362,0.702857997,0.641956878,0,0,0
FBP1,0.229309849,0.016445333,0.084678999,0.178829725,0,0,0
MYO1D,0.309118097,0.667001045,0.706813799,0.942088604,0,0,0
ATP5G1,0.112968682,0.319092152,0.753420279,0.250907744,0,0,0
ATP6V1A,0.646323149,0.758262839,0.892281833,0.069641607,0,0,0
STIP1,0.307934632,0.911372134,0.531666884,0.401369702,0,0,0
IGLL5,0.843056329,0.370803313,0.104502354,0.128838938,0,0,0
SERPINH1,0.022393784,0.521822305,0.769119428,0.821491377,0,0,0
HSD11B1,0.179819526,0.404183738,0.559495033,0.092237984,0,0,0
PSMA5,0.010773815,0.164469623,0.349147635,0.920428696,0,0,0
CFH,0.911788626,0.547362233,0.085350054,0.165873006,0,0,0
HADHB,0.009334417,0.147470689,0.170160992,0.553476521,0,0,0
RPL30,0.977750381,0.172759529,0.810113792,0.875718027,0,0,0
GLDC,0.099003914,0.757353199,0.353432093,0.375188303,0,0,0
ATP1A1,0.086397701,0.311738264,0.518530849,0.416349468,0,0,0
AGXT,0.618302722,0.548114396,0.845838598,0.544532652,0,0,0
KPNB1,0.288302371,0.862744954,0.017493224,0.691361225,0,0,0
COL1A1,0.730200285,0.19996466,0.607176587,0.169433953,0,0,0
CCT7,0.698838934,0.346577265,0.977127004,0.160138681,0,0,0
ABCB9,0.064171515,0.044406601,0.005762114,0.000284223,0,0,0
HSD11B2,0.984729196,0.719612729,0.408874789,0.963927291,0,0,0
UGT2B4,0.318650142,0.409507279,0.782801341,0.431444466,0,0,0
RPS15A,0.491184447,0.239435604,0.054273279,0.228480959,0,0,0
CNN2,0.226911198,0.168974174,0.396698325,0.69326421,0,0,0
PSMB4,0.896850752,0.697881125,0.904760737,0.596451705,0,0,0
P4HB,0.595763492,0.863534798,0.1952723,0.318194032,0,0,0
DDOST,0.019386281,0.80611527,0.887686639,0.532684379,1,1,0
RPN2,0.027177945,0.030147008,0.295964984,0.443955315,0,0,0
STT3A,0.102719669,0.075380585,0.120252022,0.612546271,0,0,0
APEH,0.512971305,0.475185126,0.645283762,0.428302517,0,0,0
FLNC,0.567218587,0.797891435,0.651737318,0.154881845,0,0,0
HNRNPH3,0.112887471,0.561507326,0.800409447,0.10218434,0,0,0
TFG,0.867982684,0.281799352,0.227538442,0.52845003,0,0,0
RPL35A,0.313609088,0.063139048,0.079274551,0.061037227,0,0,0
FBN1,0.715930883,0.653377597,0.723624702,0.148959913,0,0,0
ACSL1,0.403917742,0.677079172,0.192372899,0.207091453,0,0,0
GRHPR,0.227106882,0.446351973,0.760663342,0.680933098,0,0,0
APOL1,0.332382768,0.473754545,0.560436568,0.08517975,0,0,0
EWSR1,0.855585574,0.091637991,0.502665995,0.436559377,0,0,0
IGHA1,0.019832753,0.911363459,0.976512944,0.73071995,0,1,0
SAA2,0.869644098,0.065765453,0.225323244,3.37E-07,0,0,0
MYH11,0.006868375,0.047009006,0.114408156,0.126826043,0,0,0
ITIH4,0.91906264,0.945575754,0.10002258,0.054908622,0,0,0
ILF3,0.799782439,0.118992213,0.840731923,0.31745527,0,0,0
UBA52,0.096719495,0.827467035,0.745830683,0.058123658,0,0,0
SEC61A1,0.900021347,0.782574402,0.528187825,0.108796232,0,0,0
CNN1,0.627814421,0.547624501,0.76164732,0.374036246,0,0,0
VDAC3,0.323291763,0.570642042,0.558750306,0.061242869,0,0,0
SORD,0.002223133,0.413276395,0.182825555,0.475568372,0,0,0
H2AFV,0.937390909,0.003047076,0.821530506,0.660412151,0,0,0
IGHM,0.70021192,0.103194524,0.069782605,0.754470813,0,0,0
EIF2S3L,0.477438223,0.578253859,0.666545148,0.551459305,0,0,0
NPM1,0.179748681,0.038345894,0.343990421,0.014605199,0,0,0
MTTP,0.092699359,0.617553811,0.326716055,0.474456697,0,0,0
PPA2,0.399364537,0.991740225,0.407662525,0.932782897,0,0,0
SUCLA2,0.547605565,0.112189229,0.945252959,0.055225718,1,0,0
RAB14,0.512488753,0.254168281,0.480491583,0.492646514,0,0,0
GCDH,0.06390242,0.217154827,0.099422001,0.736901614,0,0,0
PGD,0.051001667,0.244928695,0.352765546,0.323475096,0,0,0
DSTN,0.009016552,0.159973347,0.082073963,0.503044693,0,0,0
HBB,0.005857701,0.039744211,0.105887509,0.024661508,0,0,0
SNRPD3,0.006682074,0.869505864,0.13241393,0.171323545,0,0,0
COL18A1,0.485640653,0.490176952,0.456627727,0.884712456,0,0,0
EPX,0.939959454,0.575126041,0.956739749,0.118888938,0,0,0
HBD,0.131161146,0.11185395,0.791580629,0.270713766,0,0,0
SCP2,0.013922606,0.49949621,0.716361094,0.147501393,0,0,0
ACO2,0.506532319,0.126490506,0.887541013,0.315056384,0,0,0
AKR1A1,0.660264423,0.801474864,0.667744756,0.738913502,0,0,0
GSTO1,0.437564237,0.084994781,0.22672484,0.407919517,0,0,0
HIST1H1B,0.480417779,0.426462642,0.147893327,0.00167264,0,0,0
SCARB2,0.021876198,0.228220517,0.073205313,0.092621535,0,0,0
RPS25,0.706665379,0.278937999,0.863179527,0.000101719,0,0,0
CA1,0.851126605,0.068800199,0.297658054,0.042676486,1,0,0
LPP,0.65109434,0.605630101,0.664426925,0.974994047,0,0,0
KLKB1,0.649361064,0.566658258,0.660703779,0.739293806,0,0,0
CALD1,0.944208124,0.505998013,0.689921987,0.146322465,0,0,0
WDR11,0.41518856,0.152326331,0.34409106,0.447651347,0,0,0
LMAN1,0.28988602,0.498555204,0.674236268,0.079973868,0,0,0
TUBB,0.846583687,0.537713342,0.574949384,0.29355225,0,0,0
NCL,0.251269779,0.108614338,0.412666246,0.020853443,0,0,0
ASPN,0.58331247,0.327311797,0.195792843,0.40464709,0,0,0
H1FX,0.671276957,0.807497578,0.023838546,0.910729637,0,0,0
RPS4Y2,0.370773805,0.263870509,0.295194493,0.302488493,0,0,0
IMMT,0.108623335,0.433407469,0.245208447,0.300566807,0,1,0
HNRNPD,0.311630452,0.835107205,0.669219121,0.785791088,0,0,0
DPYSL2,0.195240626,0.785024326,0.868381351,0.264674376,0,0,0
HSD17B11,0.608944415,0.014241694,0.050871819,0.848736731,0,0,0
NOP56,0.080094365,0.244810095,0.801302965,0.96876375,0,0,0
BPIFB1,0.227545309,0.234731455,0.833797463,0.482387356,0,0,0
SLC25A4,0.168874434,0.92988762,0.304996969,0.754773261,0,0,0
ACTB,0.546507798,0.137445541,0.932024082,0.99658083,1,0,0
IGHV3-72,0.950640515,0.770958212,0.246301266,0.064197355,0,0,0
COX7A2,0.175979234,0.684312497,0.494206243,0.691206267,0,0,0
AOX1,0.001111823,0.080292977,0.104473509,0.184686545,0,0,0
TALDO1,0.196869961,0.396771104,0.802741537,0.793740737,0,0,0
PARK7,0.233860459,0.802536742,0.975883086,0.972869508,0,0,0
RAC1,0.033807702,0.930553638,0.019058658,0.669716349,0,0,0
ACADVL,0.150654918,0.555467698,0.672201178,0.047214562,0,0,0
EPB41L2,0.016463302,0.380898814,0.603470131,0.018119458,0,0,0
GPLD1,0.051208879,0.479922226,0.047665406,0.76365871,0,0,0
GNAI1,0.8139875,0.120282876,0.152665987,0.132467474,0,0,0
DLD,0.912355414,0.603987501,0.563578132,0.739402811,0,0,0
ATP5C1,0.603575462,0.945650233,0.562878466,0.547908724,0,0,0
ACOX2,0.826115882,0.36993744,0.955579384,0.160397301,0,0,0
ANXA6,0.180209915,0.291624679,0.358664991,0.887032612,0,0,0
UQCR10,0.045371443,0.293807498,0.43798165,0.850084046,0,0,0
HADH,0.025446538,0.515727641,0.082033936,0.290082063,0,0,0
RPL17,0.422842397,0.197926771,0.683091352,0.577596962,0,0,0
HIBADH,0.043688917,0.976313123,0.195433273,0.788099293,0,0,0
GSTP1,0.476820033,0.18860837,0.984007232,0.057314023,0,0,0
ITGA3,0.656793677,0.38880261,0.792227482,0.228735632,0,0,0
ACOX1,0.125681349,4.15E-06,0.217761821,0.866353877,0,0,0
GC,0.486995708,0.628022086,0.718572144,0.823689316,0,0,0
IVD,0.48990968,0.435199263,0.748436734,0.225048855,0,0,0
RDH16,0.540336532,0.809973574,0.297981522,0.615065748,0,0,0
HIST1H2BM,0.929830922,0.545365509,0.866323973,0.639465753,0,0,0
TPM4,0.237512936,0.818527233,0.613687711,0.058004521,0,0,0
LAMP1,0.825543477,0.923263375,0.260264858,0.556560353,0,0,0
COPB1,0.068492856,0.787481587,0.898303386,0.139690038,0,0,0
H2AFY,0.596199885,0.7047457,0.337754065,0.469845785,0,0,0
PTGR1,0.447725787,0.283195406,0.461960235,0.186968727,0,0,0
IGLV8-61,0.290923416,0.080207061,0.288047293,0.649070694,0,0,0
CTSB,0.776260396,0.936532649,0.986445808,0.855597614,0,0,0
RPS2,0.635107358,0.744029563,0.67503469,0.084325418,0,0,0
DPYSL3,0.639835964,0.002102802,0.795328131,0.056183389,0,0,0
VIL1,0.619685459,0.749549778,0.59132327,0.23465526,0,0,0
SNX3,0.838108994,0.283501049,0.016441018,0.839798046,0,0,0
SEC31A,0.808782407,0.324464074,0.546539845,0.225489781,0,0,0
DCN,0.592664342,0.630800342,0.590032201,0.623096188,0,0,0
SERPING1,0.19522653,0.771301072,0.762545136,0.935201597,0,0,0
NONO,0.841410157,0.913089693,0.283009077,0.510079933,0,0,0
LRG1,0.665855471,0.005561735,0.089223459,4.12E-09,0,0,0
FMO5,0.386504362,0.864481712,0.333289811,0.811100647,0,0,0
PSMB3,0.408764772,0.323499524,0.271958443,0.237098208,0,0,0
CTSS,0.121425923,0.293404978,0.273677693,0.044393027,0,0,0
UQCRC1,0.710865556,0.001901779,0.980456123,0.796802836,0,0,0
PRKACB,0.339492082,0.857205582,0.513014631,0.548315339,0,0,0
IGHV3-73,0.433097223,0.64059568,0.643492295,0.267059367,0,0,0
GNAI2,0.567660525,0.551202339,0.454011652,0.246330703,0,0,0
AKR7L,0.975532384,0.812553851,0.657645606,0.217146377,0,0,0
OGN,0.142161106,0.583739778,0.364292657,0.950382015,0,0,0
HNRNPU,0.930585196,0.118466184,0.492022121,0.660915874,0,0,0
EEF1A1P5,0.04951672,0.583787676,0.369389307,0.174193522,0,0,0
LAMA5,0.530943064,0.821410324,0.415362867,0.498013643,0,0,0
FHL1,0.210077694,0.651135416,0.762356817,0.938237038,0,0,0
ATP5D,0.6665061,0.074081918,0.704779706,0.711989772,0,0,0
MYH9,0.683875322,0.816495657,0.325699954,0.002261489,0,0,0
CD9,0.35360612,0.851934981,0.810993792,0.90486942,0,0,0
AHNAK,0.51756206,0.471831579,0.800167574,0.211772576,0,0,0
ECI1,0.829763866,0.442131694,0.72883003,0.712105802,0,0,0
ECH1,0.016300424,0.622425245,0.134515928,0.383060573,0,0,0
PBLD,0.538815142,0.798685715,0.478113098,0.805168311,0,0,0
ENO1,0.759205564,0.363755148,0.264209169,0.83029389,0,0,0
IGHG2,0.666662817,0.509298466,0.84478968,0.274262825,0,0,0
CP,0.10295832,0.791782836,0.309220578,0.080051531,0,0,0
ACAT1,0.151801348,0.449779985,0.067950453,0.964876688,0,0,0
GSS,0.230472554,0.991172947,0.98858136,0.15634544,0,0,0
FGB,0.253055919,0.338709883,0.568774161,0.000137615,0,0,0
PRKCSH,0.199731437,0.978793218,0.686212042,0.054320407,0,0,0
HLA-DRB1,0.007670489,0.559816963,0.087446385,0.082674593,0,0,0
RPS12,0.872151965,0.581652708,0.246496085,0.402214901,0,0,0
RAB7A,0.836195588,0.584294983,0.500412309,0.289212647,0,0,0
HMGN1,0.563273427,0.623308475,0.292791433,0.296595721,0,0,0
EIF3B,0.61633309,0.323156633,0.527675556,0.365318351,0,0,0
FUBP1,0.774290629,0.282942796,0.473526771,0.492378421,0,0,0
2,0.988631284,0.121171283,0.610977226,0.356916972,0,0,0
