"rep..0...ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..","coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1.."
"Responder.HM",-0.847544065885127,-0.87427810082488,-0.888541925883045,-0.87427810082488,-0.878717098347708,-0.843460785114557,-0.827184532253748,-0.613104472886409,-0.831640470916059,-0.613104472886409,-0.855243242112691,-0.859664267753427,-0.887960336740604,-0.855243242112691,-0.859664267753427,-0.83882353429787,-0.851419971118564,-0.613104472886409,-0.843460785114557,-0.613104472886409,-0.882010592683785,-0.613104472886409,-0.855243242112691,-0.851419971118564,-0.613104472886409,-0.613104472886409,-0.613104472886409,-0.864344180830209,-0.823039692452219,-0.83882353429787,-0.855243242112691,-0.784823117261805,-0.613104472886409,-0.613104472886409,-0.831640470916059,-0.613104472886409,-0.879472009698408,-0.884758400709708,-0.613104472886409,-0.613104472886409,-0.887960336740604,-0.847544065885127,-0.884758400709708,-0.847544065885127,-0.613104472886409,-0.859664267753427,-0.613104472886409,-0.855243242112691,-0.878717098347708,-0.843460785114557
"ATP5L",0,0,0,0,0,0,-0.0702174088292214,0,-0.0216711558632612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0488800773596177,0,0,-0.115248330117311,0,0,-0.0216711558632612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGKV2D.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYB5A",0.107249664682291,0.0233753337374464,0,0.0233753337374464,0,0.124081153649945,0.236532150620397,0,0.168662086077364,0,0.076344050319868,0.0619825708934618,0,0.076344050319868,0.0619825708934618,0.141966122854975,0.0911764761615757,0,0.124081153649945,0,0,0,0.076344050319868,0.0911764761615757,0,0,0,0.0483862552904546,0.19781985901861,0.141966122854975,0.076344050319868,0.305282278783423,0,0,0.168662086077364,0,0.0119029936660146,0.00110982411275344,0,0,0,0.107249664682291,0.00110982411275344,0.107249664682291,0,0.0619825708934618,0,0.076344050319868,0,0.124081153649945
"ADH1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2M",-0.793266462695959,-0.913242747980194,-1.0290853107301,-0.913242747980194,-1.1044587709523,-0.774841519728416,-0.706783817332299,0,-0.740105609881742,0,-0.831467001938988,-0.851235727856666,-1.00464516926346,-0.831467001938988,-0.851235727856666,-0.756744028407765,-0.812147671014243,0,-0.774841519728416,0,-1.0788935045156,0,-0.831467001938988,-0.812147671014243,0,0,0,-0.871454952328029,-0.724504944178551,-0.756744028407765,-0.831467001938988,-0.64125134075687,0,0,-0.740105609881742,0,-0.934815330517081,-0.956843702162018,0,0,-1.00464516926346,-0.793266462695959,-0.956843702162018,-0.793266462695959,0,-0.851235727856666,0,-0.831467001938988,-1.1044587709523,-0.774841519728416
"FGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1QB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1QC",0.0160532782436865,0.0441780185589689,0.0662695713703658,0.0441780185589689,0.0930273527768565,0.0108191598253072,0,0,0.00145991983969181,0,0.0262504939969519,0.0310085535807427,0.0608680219339316,0.0262504939969519,0.0310085535807427,0.00574407822921844,0.0211422521799993,0,0.0108191598253072,0,0.0841001211614243,0,0.0262504939969519,0.0211422521799993,0,0,0,0.0355733422247815,0,0.00574407822921844,0.0262504939969519,0,0,0,0.00145991983969181,0,0.0482186986621919,0.0520996850526204,0,0,0.0608680219339316,0.0160532782436865,0.0520996850526204,0.0160532782436865,0,0.0310085535807427,0,0.0262504939969519,0.0930273527768565,0.0108191598253072
"ORM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A5",-0.386579156766587,-0.448753284171061,-0.512678653596447,-0.448753284171061,-0.553696554969946,-0.377844335064841,-0.335834755849928,0,-0.358119662500346,0,-0.405376383038291,-0.415492370097324,-0.499282046612899,-0.405376383038291,-0.415492370097324,-0.3692793933657,-0.395685255806052,0,-0.377844335064841,0,-0.539749501655322,0,-0.405376383038291,-0.395685255806052,0,0,0,-0.426108074268155,-0.346057526947533,-0.3692793933657,-0.405376383038291,-0.284480011228142,0,0,-0.358119662500346,0,-0.460762710469094,-0.473219587901315,0,0,-0.499282046612899,-0.386579156766587,-0.473219587901315,-0.386579156766587,0,-0.415492370097324,0,-0.405376383038291,-0.553696554969946,-0.377844335064841
"HSPD1",-0.151406786229446,-0.223729323389316,-0.288082177810117,-0.223729323389316,-0.330183155931033,-0.139456269244283,-0.0608294215765183,0,-0.110144164465171,0,-0.175491003282853,-0.187499828217128,-0.274405475563722,-0.175491003282853,-0.187499828217128,-0.127441268398691,-0.16341772878175,0,-0.139456269244283,0,-0.315968496511463,0,-0.175491003282853,-0.16341772878175,0,0,0,-0.199533368548345,-0.090843472134393,-0.127441268398691,-0.175491003282853,0,0,0,-0.110144164465171,0,-0.235930597908508,-0.24823126317575,0,0,-0.274405475563722,-0.151406786229446,-0.24823126317575,-0.151406786229446,0,-0.187499828217128,0,-0.175491003282853,-0.330183155931033,-0.139456269244283
"SLC25A4",-0.414442435569788,-0.665486704428005,-0.849236217705844,-0.665486704428005,-0.94818718920493,-0.368402055934531,-0.137520077887312,0,-0.264778778563749,0,-0.502505239363778,-0.544888398930983,-0.81362613071921,-0.502505239363778,-0.544888398930983,-0.320843002336916,-0.459233382170712,0,-0.368402055934531,0,-0.916180011909386,0,-0.502505239363778,-0.459233382170712,0,0,0,-0.586140738162255,-0.205606796447135,-0.320843002336916,-0.502505239363778,0,0,0,-0.264778778563749,0,-0.703648735736808,-0.74082565595236,0,0,-0.81362613071921,-0.414442435569788,-0.74082565595236,-0.414442435569788,0,-0.544888398930983,0,-0.502505239363778,-0.94818718920493,-0.368402055934531
"MYL12A",0,0,0.00397170387049493,0,0.0422845732322258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291894934729074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422845732322258,0
"GGT1",-1.30498058409235,-1.54762006774853,-1.76320630057436,-1.54762006774853,-1.89122376551889,-1.26543526198503,-1.089640871108,0,-1.18166090313473,0,-1.38469070867318,-1.42492699300275,-1.71940597973621,-1.38469070867318,-1.42492699300275,-1.22594618318376,-1.34472296865651,0,-1.26543526198503,0,-1.84808255618867,0,-1.38469070867318,-1.34472296865651,0,0,0,-1.46547525568802,-1.13545429783208,-1.22594618318376,-1.38469070867318,-0.935905217684396,0,0,-1.18166090313473,0,-1.58928218340392,-1.63137675658821,0,0,-1.71940597973621,-1.30498058409235,-1.63137675658821,-1.30498058409235,0,-1.42492699300275,0,-1.38469070867318,-1.89122376551889,-1.26543526198503
"MAOA",0.414938408722809,0.389702749383052,0.367088667340907,0.389702749383052,0.347668723010034,0.419820430009258,0.464898524942203,0,0.434618372411942,0,0.405767645685052,0.401486158245251,0.372487989352844,0.405767645685052,0.401486158245251,0.424579275086325,0.410165097979457,0,0.419820430009258,0,0.354320277447552,0,0.405767645685052,0.410165097979457,0,0,0,0.397415806523881,0.44537226607095,0.424579275086325,0.405767645685052,0.460864236599735,0,0,0.434618372411942,0,0.38599855143277,0.382359765828068,0,0,0.372487989352844,0.414938408722809,0.382359765828068,0.414938408722809,0,0.401486158245251,0,0.405767645685052,0.347668723010034,0.419820430009258
"PAICS",0.173545057355953,0.259407280735259,0.318771578196351,0.259407280735259,0.361734410892358,0.157547369409738,0.073840339064735,0,0.119487873778686,0,0.204403009463345,0.21888236565446,0.307213914277289,0.204403009463345,0.21888236565446,0.141357306623906,0.189064719113354,0,0.157547369409738,0,0.347623109041454,0,0.204403009463345,0.189064719113354,0,0,0,0.23286785597955,0.0962531668028702,0.141357306623906,0.204403009463345,0,0,0,0.119487873778686,0,0.272002911986841,0.284195701723442,0,0,0.307213914277289,0.173545057355953,0.284195701723442,0.173545057355953,0,0.21888236565446,0,0.204403009463345,0.361734410892358,0.157547369409738
"GLDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHCY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL13",0,0,0,0,0,0,-0.0247180972844687,0,-0.0061096096630424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128316745684623,0,0,-0.0372073606383244,0,0,-0.0061096096630424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSD11B1",-0.59301927872939,-0.765993176242648,-0.891094506966007,-0.765993176242648,-0.950542901369475,-0.562027631082498,-0.429015561300757,0,-0.497712546139104,0,-0.652652326361446,-0.681767542938993,-0.867994895090755,-0.652652326361446,-0.681767542938993,-0.529986121591189,-0.623335702271241,0,-0.562027631082498,0,-0.931059882073907,0,-0.652652326361446,-0.623335702271241,0,0,0,-0.710337388552706,-0.464805426084666,-0.529986121591189,-0.652652326361446,-0.34951991580291,0,0,-0.497712546139104,0,-0.793119476924055,-0.819779039822924,0,0,-0.867994895090755,-0.59301927872939,-0.819779039822924,-0.59301927872939,0,-0.681767542938993,0,-0.652652326361446,-0.950542901369475,-0.562027631082498
"PBLD",-0.250685041262684,-0.401197013414401,-0.520118296244492,-0.401197013414401,-0.593820905301792,-0.225416462491074,-0.0924654931777842,0,-0.170123058590551,0,-0.30106185420382,-0.326127920164109,-0.496905637742253,-0.30106185420382,-0.326127920164109,-0.200244515474287,-0.275964285714741,0,-0.225416462491074,0,-0.568815128158019,0,-0.30106185420382,-0.275964285714741,0,0,0,-0.351147203041037,-0.138317287702016,-0.200244515474287,-0.30106185420382,0,0,0,-0.170123058590551,0,-0.426300258418228,-0.45149800454891,0,0,-0.496905637742253,-0.250685041262684,-0.45149800454891,-0.250685041262684,0,-0.326127920164109,0,-0.30106185420382,-0.593820905301792,-0.225416462491074
"PPP2R1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL22",0.659737275325928,0.964992205116294,1.1963821507581,0.964992205116294,1.34130558693307,0.605141897247127,0.378948366594484,0,0.493892975981736,0,0.764851433954427,0.816119183255712,1.15032757730034,0.764851433954427,0.816119183255712,0.548698948509683,0.713057094966497,0,0.605141897247127,0,1.2929074438071,0,0.764851433954427,0.713057094966497,0,0,0,0.866516041496361,0.437961598849702,0.548698948509683,0.764851433954427,0.220031357208123,0,0,0.493892975981736,0,1.013201451681,1.06077510430025,0,0,1.15032757730034,0.659737275325928,1.06077510430025,0.659737275325928,0,0.816119183255712,0,0.764851433954427,1.34130558693307,0.605141897247127
"MDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL27A",1.30271043092798,1.66856773893838,1.94300063698034,1.66856773893838,2.07726766538527,1.23849882932809,0.927532152609075,0,1.09697372621695,0,1.42722309465594,1.48854210619573,1.89197384151188,1.42722309465594,1.48854210619573,1.17224545660633,1.36578178825912,0,1.23849882932809,0,2.03271749682173,0,1.42722309465594,1.36578178825912,0,0,0,1.54916800075756,1.0169904749175,1.17224545660633,1.42722309465594,0.687777559519909,0,0,1.09697372621695,0,1.72746374429051,1.78584982441257,0,0,1.89197384151188,1.30271043092798,1.78584982441257,1.30271043092798,0,1.48854210619573,0,1.42722309465594,2.07726766538527,1.23849882932809
"GATM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCT8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HDGF",0.0418251642567522,0.0961777510961629,0.14681275248976,0.0961777510961629,0.182350656196719,0.033009286191601,0,0,0.0188097193586588,0,0.0598336272205638,0.0688224755397236,0.135987371842702,0.0598336272205638,0.0688224755397236,0.0246581894932134,0.0507671375076881,0,0.033009286191601,0,0.170132346903519,0,0.0598336272205638,0.0507671375076881,0,0,0,0.0778491066797289,0.0136908187015375,0.0246581894932134,0.0598336272205638,0,0,0,0.0188097193586588,0,0.105533945458427,0.115063068944234,0,0,0.135987371842702,0.0418251642567522,0.115063068944234,0.0418251642567522,0,0.0688224755397236,0,0.0598336272205638,0.182350656196719,0.033009286191601
"DEFA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPI1",0,0,0,0,0,0,-0.0248041300722037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419410651052389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2N",0.757118596175995,0.98755927416032,1.19904795456292,0.98755927416032,1.32313483473179,0.721062572822497,0.561604503532868,0,0.646199487726902,0,0.831073639932722,0.869082769770563,1.15613805870541,0.831073639932722,0.869082769770563,0.685487145444256,0.793771934115213,0,0.721062572822497,0,1.28099223691837,0,0.831073639932722,0.793771934115213,0,0,0,0.907818979277776,0.605860012311451,0.685487145444256,0.831073639932722,0.43137852309193,0,0,0.646199487726902,0,1.0286143169428,1.07048870756607,0,0,1.15613805870541,0.757118596175995,1.07048870756607,0.757118596175995,0,0.869082769770563,0,0.831073639932722,1.32313483473179,0.721062572822497
"UBE2D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBA52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3F3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDX4",0.297815439201553,0.481346996799758,0.611058069487541,0.481346996799758,0.668853798500721,0.264741505924043,0.0849021385213637,0,0.187344136033067,0,0.361474161653688,0.392350412766727,0.588009059683098,0.361474161653688,0.392350412766727,0.230820924792066,0.330137474412402,0,0.264741505924043,0,0.649903523490448,0,0.361474161653688,0.330137474412402,0,0,0,0.422587313795005,0.141266658989579,0.230820924792066,0.361474161653688,0,0,0,0.187344136033067,0,0.509943978535403,0.538049333220185,0,0,0.588009059683098,0.297815439201553,0.538049333220185,0.297815439201553,0,0.392350412766727,0,0.361474161653688,0.668853798500721,0.264741505924043
"HNRNPD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIF2S3L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUMO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNN2",0.00122756161004023,0.0185280484698075,0.0396591830136988,0.0185280484698075,0.0575789164744169,0,0,0,0,0,0.00690438027292428,0.00970917036751863,0.0348026257860192,0.00690438027292428,0.00970917036751863,0,0.00381665910470658,0,0,0,0.0516146763455558,0,0.00690438027292428,0.00381665910470658,0,0,0,0.0125769609466914,0,0,0.00690438027292428,0,0,0,0,0,0.0216083127030014,0.0247823261337211,0,0,0.0348026257860192,0.00122756161004023,0.0247823261337211,0.00122756161004023,0,0.00970917036751863,0,0.00690438027292428,0.0575789164744169,0
"HIST1H2BL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2AFJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APMAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCYOX1",-0.247653600027085,-0.256490188606886,-0.241967661357346,-0.256490188606886,-0.221964214060456,-0.244064349903744,-0.212018048945726,0,-0.228613730695894,0,-0.253162835307123,-0.254900146006439,-0.247500361787756,-0.253162835307123,-0.254900146006439,-0.24018587973759,-0.250534930283266,0,-0.244064349903744,0,-0.229287892922287,0,-0.253162835307123,-0.250534930283266,0,0,0,-0.256051996549732,-0.215388802924497,-0.24018587973759,-0.253162835307123,-0.161820720419949,0,0,-0.228613730695894,0,-0.2557579571015,-0.254398817093644,0,0,-0.247500361787756,-0.247653600027085,-0.254398817093644,-0.247653600027085,0,-0.254900146006439,0,-0.253162835307123,-0.221964214060456,-0.244064349903744
